Class,Age,Day and Time,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,3 - 4 yrs,Tuesday 3:30 - 4:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,3 - 4 yrs,Wednesday 4:30 - 5:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,3 - 5 yrs,Saturday 9:30 - 10:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,4 - 5 yrs,Monday 3:30 - 4:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,4 - 5 yrs,Wednesday 5:30 - 6:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,4 - 5 yrs,Thursday 6:30 - 7:30 ,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,4 - 5 yrs,Friday 3:30 - 4:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet/Tap,5 - 7 yrs,Monday 4:30 - 5:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet/Tap,5 - 7 yrs,Tuesday 5:30 - 6:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet/Tap,5 - 7 yrs,Thursday 4:30 - 5:30 ,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet/Tap,5 - 7 yrs,Friday 4:30 - 5:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet/Tap,5 - 7 yrs,Saturday 10:30 - 11:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz/Hip Hop,5 - 7 yrs,Wednesday 3:30 - 4:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz/Hip Hop,6 - 8 yrs,Monday 5:30 - 6:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz/Tap,6 - 8 yrs,Wednesday 6:30 - 7:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz/Tap,6 - 8 yrs,Thursday 5:30 - 6:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Ballet,6 - 8 yrs,Tuesday 4:30 - 5:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Ballet,6 - 8 yrs,Saturday 11:30 - 12:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Ballet,7 - 10 yrs,Tuesday 5:30 - 6:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Ballet,7 - 10 yrs,Friday 5:30 - 6:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IA,8 - 12 yrs,Wednesday 4:30 - 5:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IA,8 - 12 yrs,Saturday 9:30 - 10:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IA,10 - 14 yrs,Tuesday 7:30 - 8:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IA,Teen/Adult,Monday 8:30 - 9:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Jazz,7 - 10 yrs,Thursday 3:30 - 4:30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IA,8 - 12 yrs,Wednesday 3:30 - 4:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IA,8 - 12 yrs,Friday 6:30 - 7:30 ,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IA,11 and up,Thursday 7:30 - 8:30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Tap,7 - 10 yrs,Tuesday 6:30 - 7:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IA,8 - 12 yrs,Friday 5:30 - 6:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IA,11 and up,Monday 7:30 - 8:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop ,7 - 10 yrs,Thursday 4:30 - 5:30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys Hip Hop,8 and up,Tuesday 5:45 - 6:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop,8 - 12 yrs,Monday 6:30 - 7:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop,11 and up,Thursday 3:30 - 4:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop IB/II,,Thursday 3:30 - 4:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop III,,Monday 9:00 - 9:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop,Adult,Tuesday 8:30 - 9:30 ,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap,Adult,Wednesday 7:30 - 8:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilates Reformer,Adult,Thursday 7:30 - 8:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zumba,Adult,Monday 8:30 - 9:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zumba,Teen/Adult,Saturday 9:30 - 10:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop Cardio Jam,Adult,Thursday 8:30 - 9:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Pilates Reformer,,Tuesday 6:30 - 7:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Pilates Reformer,,Wednesday 5:45 - 6:45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Pilates Reformer,,Saturday 8:30 - 9:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern/Contemporary IC/IIA,,Monday 4:30 - 5:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern/Contemporary IIB/III/IV,,Saturday 12:15 - 1:00,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyrical IC,,Monday 6:30 - 7:30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyrical IIA/IIB,,Monday 5:30 - 6:30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyrical III/IV,7 - 12 yrs,Wednesday 8:00 - 9:15,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Int Acro ,,Saturday 12:15 - 1:00,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Int Acro, 13 yrs and up,Friday 5:00 - 5:45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adv Acro,,Thursday 7:00 - 7:45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IB Prep, 8 - 9 yrs,Thursday 5:30 - 6:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IB Prep, 8 - 9 yrs,Friday 4:30 - 5:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IB Prep ,10 and up,Monday 5:30 - 6:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys Ballet Level IB Prep and up,,Tuesday 4:30 - 5:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IB ,9 - 10 yrs,Tuesday 6:30 - 7:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IB ,11 and up,Wednesday 5:30 - 6:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IC,,Monday 5:30 - 6:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IC,,Wednesday 7:45 - 8:45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Pointe Technique ,Teen/Adult,Wednesday 8:45 - 9:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IIA Performance,,Wednesday 3:30 - 5:00,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Pointe/Pointe I Performance,,Wednesday 5:00 - 5:45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IIA ,,Friday 3:30 - 5:00 ,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Pointe/Pointe I ,,Friday 5:00 - 5:45,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IIB Performance,,Tuesday 3:30 - 5:00,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pointe II Performance,,Tuesday 5:00 - 5:45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IIB ,,Wednesday 3:30 - 5:00,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pointe II,,Wednesday 5:00 - 5:45,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pointe III Performance,,Thursday 5:30 - 7:00,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet III/IV ,,Tuesday 3:30 - 5:00,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pointe III/IV ,,Tuesday 5:00 - 5:45,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet III/IV ,,Wednesday 5:45 - 7:15,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pointe III/IV Variations,,Wednesday 7:15 - 8:00,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pointe IV Performance,,Monday 4:00 - 5:30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floor Barre/Stretching,,Friday 5:45 - 6:30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet Technique,,Saturday 12:00 - 1:30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet Technique,,Tuesday 5:45 - 7:15,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet Technique,,Saturday 10:30 - 12:00,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet Technique,,Saturday 10:30 - 12:00,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IB Prep, 8 - 9 yrs,Monday 6:30 - 7:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IB Prep ,10 - 12 yrs,Thursday 6:30 - 7:30 ,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IB Prep, 13 and up,Monday 7:30 - 8:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz Technique,,Saturday 9:30 - 10:30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IB ,9 -11 yrs,Friday 5:45 - 6:45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IB, 12 and up,Wednesday 6:30 - 7:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IC,,Tuesday 3:30 - 4:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz Technique,,Wednesday 6:45 - 7:45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IIA,,Monday 7:30 - 9:00,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IIB,,Tuesday 7:30 - 9:00,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz Technique,,Thursday 8:30 - 9:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IIC/III,,Tuesday 6:30 - 8:00,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz III/IV,,Monday 7:30 - 9:00,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IV,,Tuesday 8:00 - 9:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IB Prep,,Friday 3:30 - 4:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IB, 9 - 11 yrs,Thursday 4:30 - 5:30 ,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IB, 12 and up,Tuesday 7:30 - 8:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IC,,Thursday 7:30 - 8:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap Technique,,Thursday 4:30 - 5:30 ,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IIA,,Monday 3:30 - 4:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IIB,,Monday 4:30 - 5:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IIC,,Monday 6:30 - 7:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap Technique,,Thursday 7:45 - 8:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap III/IV,,Friday 6:45 - 7:45,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Bay Ballet Arts - Company Class,,Friday 3:30 - 5:00 ,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Dance Blue Company,,Thursday 6:00 - 7:00,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Dance Green Company,,Friday 6:45 - 7:45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Dance Pink Company,,Saturday 11:00 - 12:00,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Dance Red Company,,Saturday 1:00 - 2:00,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Dance Orange Company,,Saturday 1:00 - 2:00,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
